method,technique,hit_at_k,mrr,precision_at_k,ndcg_at_k,recall_at_k,avg_rank,miss_rate,redundancy,diversity,boundary,avg_token_cost,avg_latency_ms,context_relevance,faithfulness,answer_correctness,n_questions,answer_rate,composite_score,rank,hit_at_k_verdict,mrr_verdict,ndcg_at_k_verdict,recall_at_k_verdict,redundancy_verdict,composite_score_verdict
header,hybrid,1.0,0.875,0.26,0.5384,0.9167,1.4,0.0,0.6501,0.3499,0.72,1744.5,10.1098,0.6163,0.475,0.5022,10,1.0,0.7438,1,Good,Good,Moderate,Good,Bad,Moderate
header,dense,1.0,0.85,0.28,0.5472,0.9167,1.6,0.0,0.6733,0.3267,0.64,1722.6,5.0568,0.6288,0.4744,0.4992,10,1.0,0.7422,2,Good,Good,Moderate,Good,Bad,Moderate
overlapping,hybrid,1.0,0.8583,0.26,0.5302,0.9167,1.5,0.0,0.6645,0.3355,0.34,836.7,14.0051,0.6296,0.4897,0.514,10,1.0,0.7371,3,Good,Good,Moderate,Good,Bad,Moderate
recursive,hybrid,1.0,0.8583,0.26,0.5302,0.9167,1.5,0.0,0.6645,0.3355,0.34,836.7,10.1227,0.6296,0.4897,0.514,10,1.0,0.7371,4,Good,Good,Moderate,Good,Bad,Moderate
sentence,hybrid,1.0,0.8533,0.26,0.5314,0.9167,1.6,0.0,0.649,0.351,1.0,845.5,12.4234,0.6254,0.5026,0.5321,10,1.0,0.7363,5,Good,Good,Moderate,Good,Bad,Moderate
recursive,hybrid_rerank,1.0,0.87,0.24,0.5141,0.9167,1.5,0.0,0.6731,0.3269,0.4,787.7,10.1244,0.623,0.4935,0.5136,10,1.0,0.7332,6,Good,Good,Moderate,Good,Bad,Moderate
overlapping,hybrid_rerank,1.0,0.87,0.24,0.5141,0.9167,1.5,0.0,0.6731,0.3269,0.4,787.7,1627.5019,0.623,0.4935,0.5136,10,1.0,0.7332,7,Good,Good,Moderate,Good,Bad,Moderate
overlapping,dense_rerank,1.0,0.87,0.24,0.5141,0.9167,1.5,0.0,0.6731,0.3269,0.4,787.7,1646.6018,0.623,0.4935,0.5136,10,1.0,0.7332,8,Good,Good,Moderate,Good,Bad,Moderate
recursive,dense_rerank,1.0,0.87,0.24,0.5141,0.9167,1.5,0.0,0.6731,0.3269,0.4,787.7,5.2575,0.623,0.4935,0.5136,10,1.0,0.7332,9,Good,Good,Moderate,Good,Bad,Moderate
semantic,dense,1.0,0.8167,0.28,0.5396,0.9167,1.5,0.0,0.7032,0.2968,0.86,5149.9,6.7713,0.6131,0.4715,0.4887,10,1.0,0.7316,10,Good,Good,Moderate,Good,Bad,Moderate
fixed_size,hybrid,1.0,0.85,0.22,0.4886,0.9167,1.6,0.0,0.6698,0.3302,0.24,804.2,10.533,0.6287,0.4901,0.5135,10,1.0,0.7186,11,Good,Good,Bad,Good,Bad,Moderate
semantic,hybrid,1.0,0.7667,0.28,0.5244,0.9167,1.6,0.0,0.6989,0.3011,0.84,5008.5,12.5813,0.6078,0.4709,0.4883,10,1.0,0.7145,12,Good,Moderate,Moderate,Good,Bad,Moderate
paragraph,hybrid,0.9,0.85,0.24,0.51,0.8167,1.1111,0.1,0.6618,0.3382,0.84,973.5,10.5391,0.6171,0.498,0.5197,10,0.9,0.692,13,Good,Good,Moderate,Good,Bad,Moderate
sentence,dense,0.9,0.825,0.22,0.4919,0.8167,1.3333,0.1,0.6908,0.3092,1.0,856.1,6.2983,0.6409,0.5016,0.527,10,0.9,0.6783,14,Good,Good,Bad,Good,Bad,Moderate
recursive,dense,0.9,0.8333,0.22,0.4783,0.8167,1.2222,0.1,0.7008,0.2992,0.28,877.3,5.2524,0.6428,0.4962,0.5141,10,0.9,0.6763,15,Good,Good,Bad,Good,Bad,Moderate
overlapping,dense,0.9,0.8333,0.22,0.4783,0.8167,1.2222,0.1,0.7008,0.2992,0.28,877.3,7.2954,0.6428,0.4962,0.5141,10,0.9,0.6763,16,Good,Good,Bad,Good,Bad,Moderate
paragraph,hybrid_rerank,1.0,0.715,0.22,0.431,0.85,2.2,0.0,0.6768,0.3232,0.88,739.7,1369.8444,0.6202,0.4966,0.5175,10,1.0,0.6576,17,Good,Moderate,Bad,Good,Bad,Moderate
paragraph,dense_rerank,1.0,0.715,0.22,0.431,0.85,2.2,0.0,0.6768,0.3232,0.88,739.7,1421.9672,0.6202,0.4966,0.5175,10,1.0,0.6576,18,Good,Moderate,Bad,Good,Bad,Moderate
