method,technique,hit_at_k,mrr,precision_at_k,ndcg_at_k,recall_at_k,avg_rank,redundancy,diversity,boundary,n_questions,composite_score,rank
header,hybrid,1.0,0.875,0.26,0.5384,0.9167,1.4,0.6501,0.3499,0.72,10,0.7438,1
header,dense,1.0,0.85,0.28,0.5472,0.9167,1.6,0.6733,0.3267,0.64,10,0.7422,2
overlapping,hybrid,1.0,0.8583,0.26,0.5302,0.9167,1.5,0.6645,0.3355,0.34,10,0.7371,3
recursive,hybrid,1.0,0.8583,0.26,0.5302,0.9167,1.5,0.6645,0.3355,0.34,10,0.7371,4
sentence,hybrid,1.0,0.8533,0.26,0.5314,0.9167,1.6,0.649,0.351,1.0,10,0.7363,5
recursive,hybrid_rerank,1.0,0.87,0.24,0.5141,0.9167,1.5,0.6731,0.3269,0.4,10,0.7332,6
overlapping,hybrid_rerank,1.0,0.87,0.24,0.5141,0.9167,1.5,0.6731,0.3269,0.4,10,0.7332,7
overlapping,dense_rerank,1.0,0.87,0.24,0.5141,0.9167,1.5,0.6731,0.3269,0.4,10,0.7332,8
recursive,dense_rerank,1.0,0.87,0.24,0.5141,0.9167,1.5,0.6731,0.3269,0.4,10,0.7332,9
semantic,dense,1.0,0.8167,0.28,0.5396,0.9167,1.5,0.7032,0.2968,0.86,10,0.7316,10
fixed_size,hybrid,1.0,0.85,0.22,0.4886,0.9167,1.6,0.6698,0.3302,0.24,10,0.7186,11
semantic,hybrid,1.0,0.7667,0.28,0.5244,0.9167,1.6,0.6989,0.3011,0.84,10,0.7145,12
paragraph,hybrid,0.9,0.85,0.24,0.51,0.8167,1.1111,0.6618,0.3382,0.84,10,0.692,13
sentence,dense,0.9,0.825,0.22,0.4919,0.8167,1.3333,0.6908,0.3092,1.0,10,0.6783,14
recursive,dense,0.9,0.8333,0.22,0.4783,0.8167,1.2222,0.7008,0.2992,0.28,10,0.6763,15
overlapping,dense,0.9,0.8333,0.22,0.4783,0.8167,1.2222,0.7008,0.2992,0.28,10,0.6763,16
paragraph,hybrid_rerank,1.0,0.715,0.22,0.431,0.85,2.2,0.6768,0.3232,0.88,10,0.6576,17
paragraph,dense_rerank,1.0,0.715,0.22,0.431,0.85,2.2,0.6768,0.3232,0.88,10,0.6576,18
sentence,hybrid_rerank,0.9,0.72,0.24,0.4613,0.8167,1.6667,0.6594,0.3406,1.0,10,0.6449,19
sentence,dense_rerank,0.9,0.72,0.24,0.4613,0.8167,1.6667,0.6594,0.3406,1.0,10,0.6449,20
fixed_size,dense,0.9,0.7533,0.2,0.4429,0.8167,1.6667,0.702,0.298,0.26,10,0.6437,21
paragraph,dense,0.9,0.7583,0.2,0.4355,0.8167,1.5556,0.6782,0.3218,0.76,10,0.6427,22
fixed_size,dense_rerank,0.9,0.7533,0.2,0.4335,0.8167,1.6667,0.6756,0.3244,0.38,10,0.6409,23
fixed_size,hybrid_rerank,0.9,0.7533,0.2,0.4335,0.8167,1.6667,0.6756,0.3244,0.38,10,0.6409,24
header,dense_rerank,0.9,0.7167,0.2,0.4162,0.7833,1.5556,0.6547,0.3453,0.7,10,0.6215,25
header,hybrid_rerank,0.9,0.7167,0.2,0.4162,0.7833,1.5556,0.6547,0.3453,0.7,10,0.6215,26
semantic,hybrid_rerank,0.8,0.475,0.26,0.4055,0.75,2.25,0.6726,0.3274,0.86,10,0.5389,27
semantic,dense_rerank,0.8,0.475,0.26,0.4055,0.75,2.25,0.6726,0.3274,0.86,10,0.5389,28
