chunking_method,retrieval_technique,boundary_accuracy,fact_coverage,mrr,ndcg,precision,redundancy
fixed_size,Dense,0.26,0.2,0.2,0.2,0.04,0.7019616365432739
fixed_size,Dense+Rerank,0.38000000000000006,0.2,0.2,0.2,0.04,0.675586462020874
fixed_size,Hybrid,0.24000000000000005,0.2,0.2,0.2,0.04,0.6697608232498169
fixed_size,Hybrid+Rerank,0.38000000000000006,0.2,0.2,0.2,0.04,0.675586462020874
header,Dense,0.64,0.0,0.0,0.0,0.0,0.6733134984970093
header,Dense+Rerank,0.7,0.0,0.0,0.0,0.0,0.6547039747238159
header,Hybrid,0.72,0.0,0.0,0.0,0.0,0.6501227021217346
header,Hybrid+Rerank,0.7,0.0,0.0,0.0,0.0,0.6547039747238159
overlapping,Dense,0.28,0.2,0.2,0.2,0.04,0.7008527517318726
overlapping,Dense+Rerank,0.4,0.2,0.2,0.2,0.04,0.6730777025222778
overlapping,Hybrid,0.3400000000000001,0.2,0.2,0.2,0.04,0.664496660232544
overlapping,Hybrid+Rerank,0.4,0.2,0.2,0.2,0.04,0.6730777025222778
paragraph,Dense,0.76,0.2,0.2,0.2,0.04,0.6782218813896179
paragraph,Dense+Rerank,0.8800000000000001,0.2,0.2,0.2,0.04,0.6767792701721191
paragraph,Hybrid,0.8400000000000001,0.2,0.2,0.2,0.04,0.6617794632911682
paragraph,Hybrid+Rerank,0.8800000000000001,0.2,0.2,0.2,0.04,0.6767792701721191
recursive,Dense,0.28,0.2,0.2,0.2,0.04,0.7008527517318726
recursive,Dense+Rerank,0.4,0.2,0.2,0.2,0.04,0.6730777025222778
recursive,Hybrid,0.3400000000000001,0.2,0.2,0.2,0.04,0.664496660232544
recursive,Hybrid+Rerank,0.4,0.2,0.2,0.2,0.04,0.6730777025222778
semantic,Dense,0.8600000000000001,0.0,0.0,0.0,0.0,0.7031863927841187
semantic,Dense+Rerank,0.8600000000000001,0.0,0.0,0.0,0.0,0.6726094484329224
semantic,Hybrid,0.8400000000000001,0.0,0.0,0.0,0.0,0.6988282203674316
semantic,Hybrid+Rerank,0.8600000000000001,0.0,0.0,0.0,0.0,0.6726094484329224
sentence,Dense,1.0,0.3,0.3,0.3,0.06000000000000001,0.6907593011856079
sentence,Dense+Rerank,1.0,0.3,0.25,0.26309297535714576,0.06000000000000001,0.6594332456588745
sentence,Hybrid,1.0,0.3,0.3,0.3,0.06000000000000001,0.6490503549575806
sentence,Hybrid+Rerank,1.0,0.3,0.25,0.26309297535714576,0.06000000000000001,0.6594332456588745
