chunking_method,retrieval_technique,question_id,question,fact_coverage,mrr,precision,ndcg,redundancy,boundary_accuracy,retrieved_chunks_sample
fixed_size,Dense,0,What does a bank do with deposits and loans?,0.0,0.0,0.0,0.0,0.72187454,0.2,"Banks provide different payment services, and a bank account is considered indispensable by most businesses and individuals. Nonbanks that provide payment services such as remittance companies are normally not considered as an adequate substitute for a bank account.

Banks issue new money when they make loans. In contemporary banking systems, regulators set a minimum level of reserve funds that banks must hold against the deposit liabilities created by the funding of these loans, in order to ensure that the banks can meet demands for payment of such deposits. These reserves can be acquired through the acceptance of new deposits, sale of other assets, or borrowing from other banks including the central bank.

## Range of activities

Activities undertaken by banks include personal banking, corporate banking, investment banking, private banking, transaction banking, insurance, consumer finance, trade finance and other related.

## Channels ||| ## Activities

## Standard business

[Image: https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/WinonaSavingsBankVault.JPG/250px-WinonaSavingsBankVault.JPG]

Banks act as payment agents by conducting checking or current accounts for customers, paying checks drawn by customers in the bank, and collecting checks deposited to customers' current accounts. Banks also enable customer payments via other payment methods such as Automated Clearing House (ACH), Wire transfers or telegraphic transfer, EFTPOS, and automated teller machines (ATMs).

Banks borrow money by accepting funds deposited on current accounts, by accepting term deposits, and by issuing debt securities such as banknotes and bonds. Banks lend money by making advances to customers on current accounts, by making installment loans, and by investing in marketable debt securities and other forms of money lending. ||| england.arp.jpg/250px-London.bankofengland.arp.jpg Image: s.svg/20px-Symbol_category_class.svg.png Image: Image: vg/20px-Symbol_portal_class.svg.png A bank is a financial institution that accepts deposits from the public and creates a demand deposit while making loans. Lending activities can be directly performed by the bank or indirectly through capital markets. Banks play an important role in financial stability and the economy of a country, so most countries exercise a high degree of regulation over banks. Most countries have institutionalized a system known as fractional-reserve banking, under which banks hold liquid assets equal to only a portion of their current liabilities. In addition to other regulations intended to ensure liquidity, banks are generally subject to minimum capital requirements based on an international set of capital standards, the Basel Accords. Banking in its modern sense evolved in the fourteenth century in the prosperous cities of Renaissance Italy but, in"
fixed_size,Dense,1,What role do banks play in the economy?,0.0,0.0,0.0,0.0,0.70007265,0.2,"england.arp.jpg/250px-London.bankofengland.arp.jpg Image: s.svg/20px-Symbol_category_class.svg.png Image: Image: vg/20px-Symbol_portal_class.svg.png A bank is a financial institution that accepts deposits from the public and creates a demand deposit while making loans. Lending activities can be directly performed by the bank or indirectly through capital markets. Banks play an important role in financial stability and the economy of a country, so most countries exercise a high degree of regulation over banks. Most countries have institutionalized a system known as fractional-reserve banking, under which banks hold liquid assets equal to only a portion of their current liabilities. In addition to other regulations intended to ensure liquidity, banks are generally subject to minimum capital requirements based on an international set of capital standards, the Basel Accords. Banking in its modern sense evolved in the fourteenth century in the prosperous cities of Renaissance Italy but, in ||| ## Banks in the economy

[Image: https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/SEB\_Building\_i]

n_Tallinn.jpg/250px-SEB_Building_in_Tallinn.jpg

## Economic functions

## Bank crisis

[Image: https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Bosakov\_dom.j] ||| Banks provide different payment services, and a bank account is considered indispensable by most businesses and individuals. Nonbanks that provide payment services such as remittance companies are normally not considered as an adequate substitute for a bank account.

Banks issue new money when they make loans. In contemporary banking systems, regulators set a minimum level of reserve funds that banks must hold against the deposit liabilities created by the funding of these loans, in order to ensure that the banks can meet demands for payment of such deposits. These reserves can be acquired through the acceptance of new deposits, sale of other assets, or borrowing from other banks including the central bank.

## Range of activities

Activities undertaken by banks include personal banking, corporate banking, investment banking, private banking, transaction banking, insurance, consumer finance, trade finance and other related.

## Channels"
fixed_size,Dense,2,What regulatory requirements are banks subject to?,0.0,0.0,0.0,0.0,0.6898569,0.4,"Currently, commercial banks are regulated in most jurisdictions by government entities and require a special bank license to operate.

Usually, the definition of the business of banking for the purposes of regulation is extended to include acceptance of deposits, even if they are not repayable to the customer's order - although money lending, by itself, is generally not included in the definition.

Unlike most other regulated industries, the regulator is typically also a participant in the market, being either publicly or privately governed central commercial banks (such as the Bank of Scotland) issue their own banknotes but typically include: ||| bank. Central banks also typically have a monopoly on the business of issuing banknotes. However, in some countries, this is not the case. In the UK, for example, the Financial Services Authority licenses banks, and some in addition to those issued by the Bank of England, the UK government's central bank. Image: https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Basel_-_Bank_f%C3%BCr_internationalen_Zahlungsausgleich1.jpg/250px-Basel_-_Bank_f%C3%BCr_internationalen_Zahlungsausgleich1.jpg Banking law is based on a contractual analysis of the relationship between the bank (defined above) and the customer - defined as any entity for which the bank agrees to conduct an account. The law implies rights and obligations into this relationship as follows: These implied contractual terms may be modified by express agreement between the customer and the bank. The statutes and regulations in force within a particular jurisdiction may also modify the above terms or create new rights, ||| obligations, or limitations relevant to the bank-customer relationship. Some types of financial institutions, such as building societies and credit unions, may be partly or wholly exempt from bank license requirements, and therefore regulated under separate rules. The requirements for the issue of a bank license vary between jurisdictions"
fixed_size,Dense,3,How do banks handle customer payments?,1.0,1.0,0.2,1.0,0.73674536,0.2,"## Activities

## Standard business

[Image: https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/WinonaSavingsBankVault.JPG/250px-WinonaSavingsBankVault.JPG]

Banks act as payment agents by conducting checking or current accounts for customers, paying checks drawn by customers in the bank, and collecting checks deposited to customers' current accounts. Banks also enable customer payments via other payment methods such as Automated Clearing House (ACH), Wire transfers or telegraphic transfer, EFTPOS, and automated teller machines (ATMs).

Banks borrow money by accepting funds deposited on current accounts, by accepting term deposits, and by issuing debt securities such as banknotes and bonds. Banks lend money by making advances to customers on current accounts, by making installment loans, and by investing in marketable debt securities and other forms of money lending. ||| Banks provide different payment services, and a bank account is considered indispensable by most businesses and individuals. Nonbanks that provide payment services such as remittance companies are normally not considered as an adequate substitute for a bank account.

Banks issue new money when they make loans. In contemporary banking systems, regulators set a minimum level of reserve funds that banks must hold against the deposit liabilities created by the funding of these loans, in order to ensure that the banks can meet demands for payment of such deposits. These reserves can be acquired through the acceptance of new deposits, sale of other assets, or borrowing from other banks including the central bank.

## Range of activities

Activities undertaken by banks include personal banking, corporate banking, investment banking, private banking, transaction banking, insurance, consumer finance, trade finance and other related.

## Channels ||| bank. Central banks also typically have a monopoly on the business of issuing banknotes. However, in some countries, this is not the case. In the UK, for example, the Financial Services Authority licenses banks, and some in addition to those issued by the Bank of England, the UK government's central bank. Image: https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Basel_-_Bank_f%C3%BCr_internationalen_Zahlungsausgleich1.jpg/250px-Basel_-_Bank_f%C3%BCr_internationalen_Zahlungsausgleich1.jpg Banking law is based on a contractual analysis of the relationship between the bank (defined above) and the customer - defined as any entity for which the bank agrees to conduct an account. The law implies rights and obligations into this relationship as follows: These implied contractual terms may be modified by express agreement between the customer and the bank. The statutes and regulations in force within a particular jurisdiction may also modify the above terms or create new rights,"
fixed_size,Dense,4,How is money created in banking systems?,1.0,1.0,0.2,1.0,0.74237674,0.2,"Banks provide different payment services, and a bank account is considered indispensable by most businesses and individuals. Nonbanks that provide payment services such as remittance companies are normally not considered as an adequate substitute for a bank account.

Banks issue new money when they make loans. In contemporary banking systems, regulators set a minimum level of reserve funds that banks must hold against the deposit liabilities created by the funding of these loans, in order to ensure that the banks can meet demands for payment of such deposits. These reserves can be acquired through the acceptance of new deposits, sale of other assets, or borrowing from other banks including the central bank.

## Range of activities

Activities undertaken by banks include personal banking, corporate banking, investment banking, private banking, transaction banking, insurance, consumer finance, trade finance and other related.

## Channels ||| ## Activities

## Standard business

[Image: https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/WinonaSavingsBankVault.JPG/250px-WinonaSavingsBankVault.JPG]

Banks act as payment agents by conducting checking or current accounts for customers, paying checks drawn by customers in the bank, and collecting checks deposited to customers' current accounts. Banks also enable customer payments via other payment methods such as Automated Clearing House (ACH), Wire transfers or telegraphic transfer, EFTPOS, and automated teller machines (ATMs).

Banks borrow money by accepting funds deposited on current accounts, by accepting term deposits, and by issuing debt securities such as banknotes and bonds. Banks lend money by making advances to customers on current accounts, by making installment loans, and by investing in marketable debt securities and other forms of money lending. ||| Banks generate revenue in a variety of different ways including interest, transaction fees and financial advice. Traditionally, the most significant method is via charging interest on the capital it lends out to customers. The bank profits from the difference between the level of interest it pays for deposits and other sources of funds, and the level of interest it charges in its lending activities. This difference is referred to as the spread between the cost of funds and the loan interest rate. Historically, profitability from lending activities has been cyclical and dependent on the needs and strengths of loan customers and the stage of the economic cycle. Fees and financial advice constitute a more stable revenue stream and banks have therefore placed more emphasis on these revenue lines to smooth their financial performance. In the past 20 years, American banks have taken many measures to ensure that they remain profitable while responding to increasingly changing market"
fixed_size,Dense,5,How do banks earn profit from lending?,0.0,0.0,0.0,0.0,0.6889112,0.2,"Banks generate revenue in a variety of different ways including interest, transaction fees and financial advice. Traditionally, the most significant method is via charging interest on the capital it lends out to customers. The bank profits from the difference between the level of interest it pays for deposits and other sources of funds, and the level of interest it charges in its lending activities. This difference is referred to as the spread between the cost of funds and the loan interest rate. Historically, profitability from lending activities has been cyclical and dependent on the needs and strengths of loan customers and the stage of the economic cycle. Fees and financial advice constitute a more stable revenue stream and banks have therefore placed more emphasis on these revenue lines to smooth their financial performance. In the past 20 years, American banks have taken many measures to ensure that they remain profitable while responding to increasingly changing market ||| ## Activities

## Standard business

[Image: https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/WinonaSavingsBankVault.JPG/250px-WinonaSavingsBankVault.JPG]

Banks act as payment agents by conducting checking or current accounts for customers, paying checks drawn by customers in the bank, and collecting checks deposited to customers' current accounts. Banks also enable customer payments via other payment methods such as Automated Clearing House (ACH), Wire transfers or telegraphic transfer, EFTPOS, and automated teller machines (ATMs).

Banks borrow money by accepting funds deposited on current accounts, by accepting term deposits, and by issuing debt securities such as banknotes and bonds. Banks lend money by making advances to customers on current accounts, by making installment loans, and by investing in marketable debt securities and other forms of money lending. ||| conditions. This helps in making a profit and facilitates economic development as a whole. Recently, as banks have been faced with pressure from fintechs, new and"
fixed_size,Dense,6,What conditions define liquidity risk in banking?,0.0,0.0,0.0,0.0,0.685826,0.2,"pg/250px-Bosakov_dom.jpg Banks are susceptible to many forms of risk which have triggered occasional systemic crises. These include liquidity risk (where many depositors request withdrawals in excess of available funds), credit risk (the chance that those who owe money to the bank will not repay it), and interest rate risk (the possibility that the bank will become unprofitable, if rising interest rates force it to pay relatively more on its deposits than it receives on its loans). Bank crises have developed many times throughout history when one or more risks have emerged for the banking sector as a whole. Prominent examples include the bank run that occurred during the Great Depression, the U.S. Savings and Loan crisis in the 1980s and early 1990s, the Japanese banking crisis during the 1990s, and the sub-prime mortgage crisis in the 2000s. The 2023 global banking crisis is the latest of these crises: In March 2023, liquidity shortages and bank insolvencies led to three bank ||| ## Capital and risk

Banks face a number of risks in order to conduct their business, and how well these risks are managed and understood is a key driver behind profitability, and how much capital a bank is required to hold. Bank capital consists principally of equity, retained earnings and subordinated debt. The capital requirement is a bank regulation, which sets a framework within which a bank or depository institution must manage its balance sheet. The categorization of assets and capital is highly standardized so that it can be risk weighted. After the 2008 financial crisis, regulators force banks to issue Contingent convertible bonds (CoCos). These are hybrid capital securities that absorb losses in accordance with their contractual terms when the capital of the issuing bank falls below a certain level. Then debt is reduced and bank capitalization gets a boost. Owing to their capacity to absorb losses, CoCos have the potential to satisfy regulatory capital requirement. ||| england.arp.jpg/250px-London.bankofengland.arp.jpg Image: s.svg/20px-Symbol_category_class.svg.png Image: Image: vg/20px-Symbol_portal_class.svg.png A bank is a financial institution that accepts deposits from the public and creates a demand deposit while making loans. Lending activities can be directly performed by the bank or indirectly through capital markets. Banks play an important role in financial stability and the economy of a country, so most countries exercise a high degree of regulation over banks. Most countries have institutionalized a system known as fractional-reserve banking, under which banks hold liquid assets equal to only a portion of their current liabilities. In addition to other regulations intended to ensure liquidity, banks are generally subject to minimum capital requirements based on an international set of capital standards, the Basel Accords. Banking in its modern sense evolved in the fourteenth century in the prosperous cities of Renaissance Italy but, in"
fixed_size,Dense,7,What components form bank capital?,0.0,0.0,0.0,0.0,0.7188088,0.2,"## Capital and risk

Banks face a number of risks in order to conduct their business, and how well these risks are managed and understood is a key driver behind profitability, and how much capital a bank is required to hold. Bank capital consists principally of equity, retained earnings and subordinated debt. The capital requirement is a bank regulation, which sets a framework within which a bank or depository institution must manage its balance sheet. The categorization of assets and capital is highly standardized so that it can be risk weighted. After the 2008 financial crisis, regulators force banks to issue Contingent convertible bonds (CoCos). These are hybrid capital securities that absorb losses in accordance with their contractual terms when the capital of the issuing bank falls below a certain level. Then debt is reduced and bank capitalization gets a boost. Owing to their capacity to absorb losses, CoCos have the potential to satisfy regulatory capital requirement. ||| england.arp.jpg/250px-London.bankofengland.arp.jpg Image: s.svg/20px-Symbol_category_class.svg.png Image: Image: vg/20px-Symbol_portal_class.svg.png A bank is a financial institution that accepts deposits from the public and creates a demand deposit while making loans. Lending activities can be directly performed by the bank or indirectly through capital markets. Banks play an important role in financial stability and the economy of a country, so most countries exercise a high degree of regulation over banks. Most countries have institutionalized a system known as fractional-reserve banking, under which banks hold liquid assets equal to only a portion of their current liabilities. In addition to other regulations intended to ensure liquidity, banks are generally subject to minimum capital requirements based on an international set of capital standards, the Basel Accords. Banking in its modern sense evolved in the fourteenth century in the prosperous cities of Renaissance Italy but, in ||| Banks provide different payment services, and a bank account is considered indispensable by most businesses and individuals. Nonbanks that provide payment services such as remittance companies are normally not considered as an adequate substitute for a bank account.

Banks issue new money when they make loans. In contemporary banking systems, regulators set a minimum level of reserve funds that banks must hold against the deposit liabilities created by the funding of these loans, in order to ensure that the banks can meet demands for payment of such deposits. These reserves can be acquired through the acceptance of new deposits, sale of other assets, or borrowing from other banks including the central bank.

## Range of activities

Activities undertaken by banks include personal banking, corporate banking, investment banking, private banking, transaction banking, insurance, consumer finance, trade finance and other related.

## Channels"
fixed_size,Dense,8,Where did modern banking evolve?,0.0,0.0,0.0,0.0,0.6622029,0.6,"During the 20th century, developments in telecommunications and computing caused major changes to banks' operations and let banks dramatically increase in size and geographic spread. The 2008 financial crisis led to bank failures, including some of the world's largest banks, and provoked debate about bank regulation.

## Etymology

The word bank was taken into Middle English from Middle French banque, from Old Italian banco, meaning ""table"", from Old High German banc, bank ""bench, counter"". Benches were used as makeshift desks or exchange counters during the Renaissance by Florentine bankers, who used to make their transactions atop desks covered by green tablecloths.

## Definition

The definition of a bank varies from country to country. See the relevant country pages for more information. ||| many ways, functioned as a continuation of ideas and concepts of credit and lending that have their roots in the ancient world. In the history of banking, a number of banking dynasties - notably, the Medicis, the Pazzi, the Fuggers, the Welsers, the Berenbergs, and the Rothschilds - have played a central role over many centuries. The oldest existing retail bank is Banca Monte dei Paschi di Siena (founded in 1472), while the oldest existing merchant bank is Berenberg Bank (founded in 1590). A banker is a person who engages in the business of banking. ||| In Europe, the first recorded instances of private banks were run by the Knights Templar. The Knights provided safe passage for pilgrims traveling to Jerusalem. To avoid being targeted by robbers because of the large sum of money required for the pilgrimage, pilgrims would exchange money in Templar strongholds for a receipt. They could then withdraw the money along the route at other Templar strongholds to purchase necessities. The organization would provide these services from the 12th century until their disbandment in the early 14th century. The present era of banking can be traced to wealthy medieval Renaissance Italian city-states, whose elite families such as the Bardi and Peruzzi dominated banking in 14th-century Florence before establishing branches in many other parts of Europe.[page needed] Giovanni di Bicci de' Medici set up one of the most famous Italian banks, the Medici Bank, in 1397. The Consell de Cent founded the earliestknown state deposit bank, the Taula de canvi de"
fixed_size,Dense,9,What types of bank accounts are mentioned?,0.0,0.0,0.0,0.0,0.67294127,0.2,"[Image: https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/BBTLexington.jpg/250px-BBTLexington.jpgBankstatementsareaccountingrecordsproducedbybanksunderthevariousaccountingstandardsoftheworld.UnderGAAPtherearetwokindsofaccounts:debitandcredit.CreditaccountsareRevenue,EquityandLiabilities.DebitAccountsareAssetsandExpenses.Thebankcreditsacreditaccounttoincreaseitsbalance,anddebitsacreditaccounttodecreaseitsbalance.Thecustomerdebitshisorhersavings/bank(asset)inhisledgerwhen] ||| the savings and loan crisis of the 1980s. Regulation of brokered deposits is opposed by banks on the grounds that the practice can be a source of external funding to growing communities with insufficient local deposits. There are different types of accounts: saving, recurring and current accounts. ||| Banks provide different payment services, and a bank account is considered indispensable by most businesses and individuals. Nonbanks that provide payment services such as remittance companies are normally not considered as an adequate substitute for a bank account.

Banks issue new money when they make loans. In contemporary banking systems, regulators set a minimum level of reserve funds that banks must hold against the deposit liabilities created by the funding of these loans, in order to ensure that the banks can meet demands for payment of such deposits. These reserves can be acquired through the acceptance of new deposits, sale of other assets, or borrowing from other banks including the central bank.

## Range of activities

Activities undertaken by banks include personal banking, corporate banking, investment banking, private banking, transaction banking, insurance, consumer finance, trade finance and other related.

## Channels"
